Valor,Area,Dist_Praia,Dist_Farmacia,vale_a_pena_comprar
4600000,280,0.240925428,0.793637,1
900000,208,0.904135764,0.134494,1
2550000,170,0.05952528,0.423318,1
550000,100,2.88318073,0.5250640000000001,0
2200000,164,0.239757554,0.192374,1
1449993,143,5.119767035,0.043398,0
464000,107,7.8467712989999985,0.15795399999999998,0
1050000,87,0.190406284,0.555212,1
1580000,155,2.24181477,0.001266,0
4200000,348,0.105480457,0.8549,1
1300000,70,0.336488701,0.6201,1
1200000,156,0.15147021800000002,0.914211,1
460000,73,4.3209083580000005,0.625803,0
435000,51,1.699378001,0.95506,0
3450000,173,0.041951309000000006,0.8261069999999999,1
390000,68,1.174936089,0.332049,1
1150000,80,0.0,0.5401050000000001,1
1189000,82,0.764142755,0.229142,1
560000,85,6.393219185,0.116154,0
850000,90,1.007498505,0.848916,1
440000,79,7.7174216210000015,0.642259,0
375000,41,3.2512975410000005,0.527932,0
490000,57,1.889150059,0.510174,0
230000,55,5.6522855660000015,0.370942,0
160000,55,8.074184479,0.038412,0
4100000,173,2.196337845,0.7142649999999999,1
4500000,200,0.340529574,0.22883,1
740000,96,1.233790947,0.720877,1
360000,38,0.953047855,0.7620640000000001,0
370000,79,6.863006269,0.187991,0
450000,76,7.9076848339999986,0.8077270000000001,0
530000,78,1.028260088,0.132569,1
1100000,73,2.466608974,0.869347,0
410000,65,6.794796075,0.741907,0
680000,67,6.596640036,0.102129,0
580000,89,0.94858464,0.176834,1
2500000,350,0.425667816,0.075311,1
250000,58,6.167202127,0.758071,0
250000,53,4.672104184,0.238702,0
4250000,487,2.3140207740000003,0.429702,0
233000,36,5.459016287000001,0.696887,0
562000,110,6.860317897000001,0.836791,0
2300000,143,2.550538275,0.09083,0
225000,68,7.69998521,0.047211,0
1050000,105,1.14771522,0.296757,1
260000,55,7.612598348,0.093646,0
2350000,242,0.4516636470000001,0.959268,1
180000,51,4.171351453,0.416871,0
5800000,180,0.05478342,0.728126,1
4500000,333,0.110001014,0.681645,1
270000,52,7.190071317,0.854032,0
1150000,70,0.054454091,0.987232,1
650000,91,4.452170228,0.427942,0
290000,52,10.31431502,0.93116,0
2500000,140,0.593280397,0.6623220000000001,1
2000000,140,0.091440163,0.728529,1
740000,140,1.553783476,0.503368,1
750000,54,0.386030978,0.535867,0
440000,69,5.654261708,0.8614,0
495000,91,7.853892265,0.443865,0
995800,68,5.240119322,0.038825,0
1699000,110,1.368796115,0.102861,1
435000,35,0.606099546,0.188966,0
535000,82,3.334833966,0.620537,0
900000,140,1.362051551,0.536425,1
435000,41,0.080573621,0.5258109999999999,0
308000,53,0.970645738,0.61751,0
679993,115,9.58291726,0.976757,0
1170000,232,1.44147047,0.82805,1
340000,66,7.518428459,0.907788,0
3200000,276,0.362672821,0.458845,1
360000,70,8.050356588,0.908698,0
2900000,260,1.581334955,0.26019200000000003,1
1450000,60,0.583750855,0.904098,0
650000,80,0.41559994,0.240718,1
690000,80,0.94810602,0.980858,1
440000,65,4.701078507,0.92349,0
16500000,300,0.0,0.516041,0
472520,71,1.722169686,0.367581,1
950000,86,1.1868859109999998,0.26108000000000003,1
395000,75,6.773256072000001,0.335929,0
1980000,171,0.27763091300000003,0.8324950000000001,1
536000,87,0.872313247,0.971802,1
